Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Phase;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;jma;Jurik Moving Average;20;0;;0;;1.5;1,5;2;5;5b;8h;16240,440539639249;56;0,4642857142857143;94,98619026426968
BTC/EUR;Short;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;8h;16280,061973001137;53;0,4339622641509434;165,73948519034275
ETH/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;8h;16539,660043079977;51;0,5098039215686274;120,75727497528351
ETH/EUR;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;8h;16605,022677259527;46;0,5652173913043478;114,1242910264009
XRP/EUR;Long;jma;Jurik Moving Average;50;-50;;-50;;None;;2;5;5b;8h;16485,033029474856;33;0,6363636363636364;54,120280658697084
XRP/EUR;Short;jma;Jurik Moving Average;30;50;;50;;None;;2;4;4b;8h;16460,832473547413;61;0,5737704918032787;107,1391857808394
SOL/EUR;Long;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;8h;16708,08243624754;44;0,6136363636363636;79,54917879125242
SOL/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;None;;2;5;5b;8h;16600,308186695656;45;0,5555555555555556;108,73371688365478
LINK/EUR;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;2;5;5b;8h;16682,078714700023;50;0,54;62,001800039053705
LINK/EUR;Short;jma;Jurik Moving Average;30;50;;50;;None;;2;5;5b;8h;16412,55352756344;58;0,4827586206896552;230,22359940782917
SUI/EUR;Long;jma;Jurik Moving Average;50;0;;0;;1.5;1,5;2;0;trend;8h;16641,977320417558;16;0,4375;72,55497315079265
SUI/EUR;Short;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;8h;16849,305850234407;13;0,6153846153846154;79,96366879460766
LUNC/USDT;Long;jma;Jurik Moving Average;50;-50;;-50;;1.5;1,5;2;0;trend;8h;18548,325854169896;18;0,3888888888888889;449,807359854316
LUNC/USDT;Short;jma;Jurik Moving Average;30;-50;;-50;;None;;2;5;5b;8h;17417,09955696395;50;0,58;182,9526044250124
TNSR/USDC;Long;jma;Jurik Moving Average;20;-50;;-50;;1.5;1,5;2;0;trend;8h;26903,78626228124;13;0,38461538461538464;849,5017592165168
TNSR/USDC;Short;jma;Jurik Moving Average;30;0;;0;;1.5;1,5;2;0;trend;8h;17533,1451698991;22;0,5454545454545454;366,67012021200753
ZEC/USDC;Long;jma;Jurik Moving Average;20;-50;;-50;;None;;0;2;2b;8h;17002,619570197512;75;0,4666666666666667;172,28063371736062
ZEC/USDC;Short;jma;Jurik Moving Average;50;50;;50;;1.5;1,5;2;0;trend;8h;17657,02046258774;13;0,5384615384615384;330,7646380895203
