Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;SlowLength;Factor;ATRStopMult;ATRStopMultValue;MinHoldDays;MaxHoldBars;TimeExit;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/EUR;Long;kama;Kaufman AMA;30;30;;30;;None;;2;4;4b;6h;16168,486659904625;14;0,6428571428571429;14,116569938541943
BTC/EUR;Short;kama;Kaufman AMA;30;30;;30;;1.5;1,5;2;5;5b;6h;16276,864634734264;25;0,48;42,37434208326886
ETH/EUR;Long;kama;Kaufman AMA;20;40;;40;;1.5;1,5;2;0;trend;6h;16194,485311955044;9;0,4444444444444444;60,27980656859836
ETH/EUR;Short;kama;Kaufman AMA;20;50;;50;;None;;0;5;5b;6h;16326,20901940164;34;0,35294117647058826;199,57606002281682
XRP/EUR;Long;kama;Kaufman AMA;10;50;;50;;None;;2;4;4b;6h;15984,894642699104;16;0,5;80,90158380359935
XRP/EUR;Short;kama;Kaufman AMA;20;40;;40;;None;;2;5;5b;6h;16336,058756169206;28;0,6071428571428571;116,92715195641176
SOL/EUR;Long;kama;Kaufman AMA;20;50;;50;;1.5;1,5;2;2;2b;6h;16224,827245666605;13;0,6153846153846154;16,37620913990031
SOL/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;6h;16478,243881325398;32;0,53125;155,13643300571493
LINK/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;2;0;trend;6h;16148,216315170643;6;0,8333333333333334;108,74296693493852
LINK/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;0;5;5b;6h;16336,951966868532;26;0,4230769230769231;66,75085358704746
SUI/EUR;Long;kama;Kaufman AMA;10;30;;30;;None;;0;5;5b;6h;16308,104047113302;33;0,42424242424242425;135,48302056763896
SUI/EUR;Short;kama;Kaufman AMA;30;40;;40;;None;;2;5;5b;6h;16516,581665436195;15;0,6;53,54665691134687
LUNC/USDT;Long;kama;Kaufman AMA;10;30;;30;;1.5;1,5;2;0;trend;6h;17758,15497706046;4;0,5;187,77662360225804
LUNC/USDT;Short;kama;Kaufman AMA;10;50;;50;;None;;2;0;trend;6h;16796,99713143998;15;0,5333333333333333;293,31149164853196
TNSR/USDC;Long;kama;Kaufman AMA;10;30;;30;;None;;0;0;trend;6h;18493,07045933014;9;0,2222222222222222;743,9320490259452
TNSR/USDC;Short;kama;Kaufman AMA;30;30;;30;;None;;2;0;trend;6h;17392,023535520584;13;0,6923076923076923;270,3074165348371
ZEC/USDC;Long;kama;Kaufman AMA;30;40;;40;;None;;0;0;trend;6h;16363,725123682203;23;0,2608695652173913;210,7183096614317
ZEC/USDC;Short;kama;Kaufman AMA;20;50;;50;;None;;2;3;3b;6h;16589,65928104411;24;0,5833333333333334;184,91204095094145
